Date,Open,High,Low,Close,Adj Close,Volume
3/11/2015,46.25,46.900002,45.900002,46.450001,44.995136,21206527
4/11/2015,47,48,46.450001,47.950001,46.448158,46158229
5/11/2015,48.150002,48.200001,47.400002,47.75,46.254417,29610728
6/11/2015,47.75,47.950001,47.25,47.799999,46.302856,20291753
9/11/2015,47.950001,48.650002,47.700001,48.299999,46.787189,22993684
10/11/2015,48.299999,48.299999,46.650002,47.25,45.770081,27368028
11/11/2015,47.25,47.5,46.5,46.700001,45.237309,21235070
12/11/2015,46.799999,48.799999,46.650002,48.450001,46.932495,27432766
13/11/2015,47.5,47.900002,47.200001,47.650002,46.157555,19450830
16/11/2015,46.5,46.75,46.099998,46.299999,44.849834,21038222
17/11/2015,47,47.099998,46.5,46.549999,45.092003,19149050
18/11/2015,46.5,46.700001,46.099998,46.450001,44.995136,18657704
19/11/2015,47.25,47.450001,46.900002,47.299999,45.818512,23145925
20/11/2015,47.099998,48.150002,47,47.900002,46.399727,16258153
23/11/2015,47.900002,48.150002,47.549999,47.950001,46.448158,11534416
24/11/2015,47.950001,48.049999,47.5,47.799999,46.302856,13416522
25/11/2015,47.650002,48,47.349998,47.650002,46.157555,14905409
26/11/2015,48.349998,48.349998,47.549999,47.75,46.254417,18836141
27/11/2015,47.900002,47.900002,46.450001,46.5,45.043571,21954643
30/11/2015,46.400002,47.200001,45.700001,46.299999,44.849834,39797668
1/12/2015,46.950001,48,46.900002,47.75,46.254417,28296903
2/12/2015,48,48.599998,47.950001,48.5,46.98093,26622161
3/12/2015,48.25,48.75,47.849998,48.400002,46.88406,18660917
4/12/2015,47.900002,48.75,47.799999,48.450001,46.932495,23646015
7/12/2015,48.900002,49,48.400002,48.5,46.98093,19492441
8/12/2015,48.450001,48.450001,47.299999,47.849998,46.351288,25074674
9/12/2015,47.549999,48.200001,47.049999,48.150002,46.641891,16810443
10/12/2015,47.799999,48.25,47.400002,47.650002,46.157555,14406630
11/12/2015,47.349998,47.549999,46.299999,46.599998,45.140438,25105433
14/12/2015,45.25,46.25,45.099998,45.849998,44.413933,28312027
15/12/2015,45.849998,46,45.349998,45.400002,43.978027,15650466
16/12/2015,45.900002,47.150002,45.900002,46.450001,44.995136,21834686
17/12/2015,46.549999,47.150002,46.5,47.099998,45.624779,21515692
18/12/2015,46.599998,47.5,46.25,46.650002,45.188877,20846993
21/12/2015,46.150002,46.799999,46.150002,46.650002,45.188877,9551561
22/12/2015,46.900002,47.150002,46.599998,47,45.527908,13897289
23/12/2015,47.400002,47.799999,46.75,46.799999,45.334179,15411954
24/12/2015,47.400002,47.450001,46.900002,47,45.527908,5534376
28/12/2015,47,47.049999,46.099998,46.400002,44.946705,7582069
29/12/2015,46.549999,46.549999,46.150002,46.400002,44.946705,9572374
30/12/2015,46.75,46.950001,46.25,46.349998,44.89827,8623677
31/12/2015,46.450001,46.849998,46.349998,46.599998,45.140438,5571602
4/1/2016,46.599998,46.599998,45.200001,45.450001,44.026459,27187337
5/1/2016,46.799999,46.900002,45.25,45.650002,44.220196,20689425
6/1/2016,45.900002,46.200001,45,45.049999,43.638985,18742724
7/1/2016,44.299999,44.599998,43.150002,43.650002,42.282837,29220124
8/1/2016,43.650002,44.400002,43.549999,43.75,42.379704,25195079
11/1/2016,42.549999,43.099998,42.25,42.299999,40.975117,25328898
12/1/2016,42.799999,43.299999,41.950001,42,40.684513,28610123
13/1/2016,43.099998,43.849998,42.650002,43.099998,41.750061,23299012
14/1/2016,42.299999,42.849998,42.049999,42.700001,41.362591,24100187
15/1/2016,42.5,42.900002,42.099998,42.450001,41.120422,19980935
18/1/2016,41.799999,42,41.299999,41.349998,40.054874,25446878
19/1/2016,41.150002,42.5,40.5,42.450001,41.120422,26606313
20/1/2016,41.75,41.799999,40.049999,40.400002,39.134632,47332642
21/1/2016,41.200001,41.75,40.099998,40.349998,39.086193,35606246
22/1/2016,41.450001,42.200001,40.450001,41.799999,40.49078,38340886
25/1/2016,43.049999,43.200001,42.349998,42.450001,41.120422,28659484
26/1/2016,41.5,42.400002,41.450001,41.799999,40.49078,21809915
27/1/2016,42.549999,43.400002,42.549999,42.950001,41.604763,32160893
28/1/2016,42.799999,43,41.650002,42.25,40.926685,31750945
29/1/2016,42,42.950001,41.5,42.849998,41.507889,38142725
1/2/2016,43.5,43.5,41.849998,42.150002,40.829819,29896314
2/2/2016,42.400002,42.599998,40.900002,40.950001,39.667404,42296747
3/2/2016,37.450001,39.5,37.099998,38.950001,37.730045,141175596
4/2/2016,39.700001,40.400002,39.650002,39.900002,38.650288,50701293
5/2/2016,41,41,39.200001,39.400002,38.165955,56807088
11/2/2016,39.400002,39.400002,37.200001,38.150002,36.955105,67471602
12/2/2016,37.099998,37.599998,36.849998,37.25,36.08329,44065371
15/2/2016,38,38.299999,37.75,38.200001,37.00354,49905539
16/2/2016,38.5,39,38.299999,38.549999,37.342571,30800980
17/2/2016,39,39.299999,38.099998,38.25,37.051968,31268518
18/2/2016,39.5,39.5,39,39.25,38.020649,34334703
19/2/2016,39.049999,39.799999,39.049999,39.349998,38.117516,18763887
22/2/2016,39.349998,39.900002,39.099998,39.799999,38.553417,25422088
23/2/2016,39.900002,40.349998,39.799999,40.099998,38.844025,24516502
24/2/2016,39.599998,39.75,38.400002,39.150002,37.923782,32800430
25/2/2016,39.799999,39.900002,39.049999,39.5,38.262817,44745928
26/2/2016,40.450001,40.849998,39.900002,40.650002,39.376804,45906352
29/2/2016,40.799999,40.799999,39.5,39.700001,38.456558,29636119
1/3/2016,40.099998,40.400002,39.700001,40.299999,39.037762,27349911
2/3/2016,41.5,42.099998,41.299999,41.950001,40.636082,45697660
3/3/2016,42.5,42.549999,42,42.400002,41.071987,32306130
4/3/2016,42.950001,42.950001,41.650002,42.049999,40.732948,28202670
7/3/2016,42.5,42.5,41.349998,41.700001,40.393917,27795293
8/3/2016,41.700001,41.900002,41.299999,41.400002,40.103313,9381677
9/3/2016,41.700001,41.849998,41.200001,41.599998,40.297043,16000119
10/3/2016,42,42.450001,41.900002,42.049999,40.732948,24988775
11/3/2016,41.650002,43.299999,41.650002,43,41.653191,31216488
14/3/2016,42.25,42.950001,41.950001,42.650002,41.314163,40544899
15/3/2016,42.150002,42.799999,42.099998,42.549999,41.217289,17339892
16/3/2016,42.549999,42.75,42,42.299999,40.975117,20216638
17/3/2016,43,43.150002,42.25,42.450001,41.120422,23891138
18/3/2016,42.5,42.849998,42.5,42.700001,41.362591,19193009
21/3/2016,43,43,42.5,42.849998,41.507889,16141823
22/3/2016,43,43,42.349998,42.549999,41.217289,17082768
23/3/2016,42.549999,42.849998,42.200001,42.25,40.926685,17005288
24/3/2016,42,42.450001,41.5,41.849998,40.539211,24456334
29/3/2016,41.849998,42.599998,41.700001,42.450001,41.120422,26073756
30/3/2016,42.950001,43.950001,42.799999,43.900002,42.525005,37464799
31/3/2016,44.299999,44.299999,43.549999,43.950001,42.573437,21854268
1/4/2016,44.299999,44.349998,43.099998,43.150002,41.798496,22056193
5/4/2016,43.150002,43.549999,42.549999,42.700001,41.362591,21514546
6/4/2016,42.5,42.950001,42.299999,42.450001,41.120422,17498763
7/4/2016,43.049999,43.150002,42.549999,42.650002,41.314163,13780853
8/4/2016,42.549999,43.299999,42.299999,43.25,41.895367,11144107
11/4/2016,43.099998,43.450001,42.75,43.099998,41.750061,15384352
12/4/2016,43.650002,43.650002,43.150002,43.450001,42.0891,12724355
13/4/2016,43.849998,44.75,43.549999,44.599998,43.203083,27827566
14/4/2016,46.150002,46.200001,44.900002,45.700001,44.268631,41682178
15/4/2016,46,46.200001,44.849998,44.950001,43.542118,28230192
18/4/2016,44.549999,44.75,44,44.599998,43.203083,15350521
19/4/2016,45.5,45.599998,44.849998,45.099998,43.687416,19842547
20/4/2016,45.349998,45.349998,44.599998,44.650002,43.251518,15240670
21/4/2016,45,46.049999,44.75,45.950001,44.510799,26514046
22/4/2016,47.799999,48,46.450001,46.799999,45.334179,47883391
25/4/2016,48,48,47.150002,47.299999,45.818512,31583838
26/4/2016,47.599998,47.599998,46.25,47.299999,45.818512,24302107
27/4/2016,47.099998,47.450001,46.5,47.349998,45.866947,24370041
28/4/2016,47.5,47.599998,46.75,47.099998,45.624779,25544091
29/4/2016,46.650002,47,46.150002,46.700001,45.237309,19814859
3/5/2016,46.700001,46.700001,45.400002,45.450001,44.026459,28602350
4/5/2016,45.200001,45.200001,44.5,44.900002,43.493683,19936978
5/5/2016,44.599998,46.150002,44.599998,45.799999,44.365494,20498898
6/5/2016,45.75,45.75,44.25,44.450001,43.057781,22178347
9/5/2016,44.450001,44.900002,44.049999,44.549999,43.154648,23024924
10/5/2016,43.599998,44.849998,43.25,44.400002,43.507412,16308901
11/5/2016,44.900002,44.900002,43.200001,43.450001,42.576511,19975808
12/5/2016,44,44,43,43.200001,42.331535,16811163
13/5/2016,42.950001,43.299999,42.299999,43,42.135551,25160260
16/5/2016,43.099998,44.200001,42.900002,43.650002,42.772488,19285017
17/5/2016,43.849998,43.950001,43.400002,43.849998,42.968464,14524452
18/5/2016,43.200001,43.650002,42.849998,43.049999,42.184547,18735652
19/5/2016,43,43.200001,42.599998,42.700001,41.841583,16246435
20/5/2016,42.5,43.5,42.5,43.150002,42.282539,13356317
23/5/2016,42.799999,43.549999,42.700001,43.200001,42.331535,9477945
